barrier_id,person_id,transition_id,barrier_type,barrier_text,severity_score
1,829,1624,No support system,Lacked mentorship or guidance in new field.,1
2,1395,2760,No support system,Felt isolated during the transition process.,4
3,1395,2760,Fear of failure,Worried about not succeeding in a new industry.,3
4,1322,2618,Family responsibilities,Hard to relocate or change jobs with family needs.,5
5,1289,2557,Age-related bias,Felt overlooked due to being older than peers.,2
6,1289,2557,Mental health issues,Depression impacted confidence to pursue a new career.,4
7,548,1068,Age-related bias,Concerned about competing with younger talent.,2
8,1090,2167,Age-related bias,Felt overlooked due to being older than peers.,4
9,861,1689,Fear of failure,Scared to leave a stable job for uncertainty.,1
10,861,1689,Financial constraints,Lost income made it hard to switch careers.,2
11,1072,2136,Family responsibilities,Couldn't attend evening courses due to childcare.,2
12,1072,2136,Financial constraints,Couldn't afford tuition fees for reskilling.,5
13,716,1395,Age-related bias,Hiring managers assumed I couldn't adapt.,3
14,716,1395,Fear of failure,Fear of starting over held me back.,1
15,1210,2401,Family responsibilities,Family obligations delayed career transition.,4
16,1031,2054,Age-related bias,Hiring managers assumed I couldn't adapt.,2
17,1031,2054,Mental health issues,Depression impacted confidence to pursue a new career.,5
18,952,1881,Lack of education,Felt underqualified without a diploma in the new field.,4
19,952,1881,Time limitations,Transition delayed due to lack of free time.,1
20,1074,2139,No support system,Lacked mentorship or guidance in new field.,5
21,1074,2139,Family responsibilities,Couldn't attend evening courses due to childcare.,5
22,663,1293,Financial constraints,Lost income made it hard to switch careers.,5
23,127,263,Fear of failure,Scared to leave a stable job for uncertainty.,1
24,894,1761,Time limitations,Balancing a full-time job left no time for study.,3
25,894,1761,Lack of education,Didn't meet the education criteria for the new role.,2
26,318,635,Age-related bias,Felt overlooked due to being older than peers.,2
27,318,635,Time limitations,Couldn't attend classes due to long work hours.,4
28,927,1827,Financial constraints,Couldn't afford tuition fees for reskilling.,5
29,927,1827,Age-related bias,Hiring managers assumed I couldn't adapt.,2
30,494,977,Lack of education,Didn't meet the education criteria for the new role.,3
31,494,977,No support system,Lacked mentorship or guidance in new field.,4
32,792,1552,Lack of education,Didn't meet the education criteria for the new role.,5
33,792,1552,Family responsibilities,Hard to relocate or change jobs with family needs.,5
34,882,1740,Financial constraints,Cost of certification programs was too high.,2
35,882,1740,No support system,Felt isolated during the transition process.,4
36,747,1461,Age-related bias,Felt overlooked due to being older than peers.,2
37,506,1001,Lack of education,Didn't meet the education criteria for the new role.,1
38,971,1919,Lack of experience,Didn't meet job requirements in new field.,4
39,971,1919,Fear of failure,Fear of starting over held me back.,5
40,142,289,Financial constraints,Lost income made it hard to switch careers.,2
41,142,289,Age-related bias,Felt overlooked due to being older than peers.,4
42,513,1011,Financial constraints,Couldn't afford tuition fees for reskilling.,2
43,921,1813,No support system,Lacked mentorship or guidance in new field.,5
44,353,706,Financial constraints,Lost income made it hard to switch careers.,1
45,1135,2256,Lack of experience,Struggled to get interviews without domain experience.,4
46,1443,2856,No support system,Felt isolated during the transition process.,1
47,1443,2856,Age-related bias,Felt overlooked due to being older than peers.,4
48,738,1439,Family responsibilities,Family obligations delayed career transition.,1
49,1355,2679,Financial constraints,Cost of certification programs was too high.,4
50,1355,2679,Age-related bias,Felt overlooked due to being older than peers.,5
