reason_id,person_id,transition_id,reason_type,reason_comment
1,736,1437,Burnout,Job was emotionally draining.
2,736,1437,Relocation,Relocation forced a change in career.
3,736,1437,Laid off,Company downsized and I lost my job.
4,468,922,Laid off,Company downsized and I lost my job.
5,468,922,Industry decline,Saw layoffs and instability in my field.
6,1327,2626,Desire for stability,Old industry was unpredictable.
7,535,1048,Relocation,Moved to a new city and needed a job switch.
8,535,1048,Laid off,Position was eliminated unexpectedly.
9,535,1048,Career growth,Felt stuck in the same position for too long.
10,436,860,Work-life balance,Current job had long hours with no flexibility.
11,436,860,Industry decline,Needed to move to a growing sector.
12,436,860,Burnout,Too much stress in the previous role.
13,696,1361,Better salary,N/A
14,696,1361,Industry decline,Old industry was shrinking with few jobs.
15,696,1361,Flexible schedule,Wanted better control over my time.
16,378,752,Work-life balance,Burned out from constant overtime.
17,951,1880,Work-life balance,Current job had long hours with no flexibility.
18,951,1880,Career growth,Wanted to pursue a leadership role.
19,811,1592,Pursuing passion,Switched to something I'm genuinely excited about.
20,1448,2865,Job dissatisfaction,Company culture wasn't a good fit.
21,643,1252,Better salary,Old job didn't pay enough to cover living costs.
22,643,1252,N/A,N/A
23,643,1252,Relocation,Relocation forced a change in career.
24,1062,2112,Better salary,Old job didn't pay enough to cover living costs.
25,1062,2112,Relocation,Moved to a new city and needed a job switch.
26,1062,2112,Desire for stability,Seeking consistent income and benefits.
27,443,872,N/A,Current job had long hours with no flexibility.
28,789,1544,Work-life balance,Burned out from constant overtime.
29,789,1544,Better salary,Wanted to earn more to support my family.
30,789,1544,Job dissatisfaction,Company culture wasn't a good fit.
31,68,140,Relocation,Relocation forced a change in career.
32,1169,2321,Relocation,N/A
33,1169,2321,Flexible schedule,Old job didn't offer schedule flexibility.
34,1169,2321,Better salary,Wanted to earn more to support my family.
35,1413,2801,Relocation,Relocated due to family reasons.
36,1413,2801,Remote work opportunity,"New role allows remote work, which I prefer."
37,1482,2939,Career growth,Wanted to pursue a leadership role.
38,1482,2939,Industry decline,Old industry was shrinking with few jobs.
39,1455,2882,Laid off,Company downsized and I lost my job.
40,1455,2882,Better salary,Wanted to earn more to support my family.
41,1204,2386,Flexible schedule,Old job didn't offer schedule flexibility.
42,1204,2386,Better salary,Old job didn't pay enough to cover living costs.
43,1204,2386,Desire for stability,Seeking consistent income and benefits.
44,531,1042,Industry decline,Old industry was shrinking with few jobs.
45,531,1042,Laid off,Position was eliminated unexpectedly.
46,531,1042,Better salary,Wanted to earn more to support my family.
47,240,487,Pursuing passion,Wanted to follow my true interests.
48,240,487,Job dissatisfaction,didn't enjoy the work I was doing.
49,424,835,Remote work opportunity,"New role allows remote work, which I prefer."
50,1426,2822,Job dissatisfaction,Felt unmotivated in my previous role.
