sat_id,person_id,transition_id,sat_before,sat_after,sat_delta,notes
1,1,3,6,7,1,Slight improvement in work-life balance and satisfaction.
2,2,4,3,3,0,Change made little difference in overall happiness.
3,3,7,10,10,0,Change made little difference in overall happiness.
4,4,8,8,6,-2,Struggles with job satisfaction after the transition.
5,5,13,9,10,1,Slight improvement in work-life balance and satisfaction.
6,6,14,1,1,0,Change made little difference in overall happiness.
7,7,15,5,3,-2,Struggles with job satisfaction after the transition.
8,8,17,9,10,1,Slight improvement in work-life balance and satisfaction.
9,9,20,10,10,0,Change made little difference in overall happiness.
10,10,21,8,7,-1,Feels unsure about the new role and its demands.
11,11,24,2,5,3,Feels more fulfilled and motivated after switching.
12,12,25,4,2,-2,Struggles with job satisfaction after the transition.
13,13,28,9,10,1,Slight improvement in work-life balance and satisfaction.
14,14,29,8,8,0,Change made little difference in overall happiness.
15,15,32,5,8,3,Feels more fulfilled and motivated after switching.
16,16,36,7,8,1,Slight improvement in work-life balance and satisfaction.
17,17,37,9,9,0,Change made little difference in overall happiness.
18,18,39,4,3,-1,Feels unsure about the new role and its demands.
19,19,41,9,10,1,Slight improvement in work-life balance and satisfaction.
20,20,43,5,6,1,Slight improvement in work-life balance and satisfaction.
21,21,45,7,7,0,Change made little difference in overall happiness.
22,22,49,5,4,-1,Feels unsure about the new role and its demands.
23,23,50,5,5,0,Change made little difference in overall happiness.
24,24,55,10,10,0,Change made little difference in overall happiness.
25,25,57,7,5,-2,Struggles with job satisfaction after the transition.
26,26,59,3,5,2,Feels more fulfilled and motivated after switching.
27,27,60,7,5,-2,Struggles with job satisfaction after the transition.
28,28,64,1,2,1,Slight improvement in work-life balance and satisfaction.
29,29,67,5,7,2,Feels more fulfilled and motivated after switching.
30,30,69,10,10,0,Change made little difference in overall happiness.
31,31,71,6,6,0,Change made little difference in overall happiness.
32,32,72,5,5,0,Change made little difference in overall happiness.
33,33,76,1,1,0,Change made little difference in overall happiness.
34,34,77,7,7,0,Change made little difference in overall happiness.
35,35,78,5,7,2,Feels more fulfilled and motivated after switching.
