cert_id,person_id,transition_id,cert_name,provider,hours,completion_date,is_industry_credential
1,1117,2220,AWS Certified Solutions Architect,Cisco,98,2017-11-08,0
2,1117,2220,Certified Scrum Master,IBM,60,2017-01-08,1
3,1117,2220,Power BI Data Analyst,IBM,53,2023-04-27,1
4,1369,2704,Microsoft Excel Expert,Microsoft,64,2024-05-12,0
5,1369,2704,PMI CAPM,Google,57,2020-07-30,1
6,423,834,Power BI Data Analyst,LinkedIn Learning,10,2020-11-05,0
7,423,834,Tableau Desktop Specialist,Microsoft,74,2015-12-26,1
8,423,834,Udemy Python Bootcamp,LinkedIn Learning,90,2024-10-27,0
9,414,812,Cisco CCNA,Udemy,19,2023-11-21,1
10,452,888,Google Data Analytics,Udemy,43,2020-03-01,1
11,452,888,Certified Scrum Master,Google,7,2016-04-17,1
12,862,1694,Cisco CCNA,Amazon,14,2017-11-27,0
13,1064,2118,Certified Scrum Master,Google,98,2024-06-04,1
14,1064,2118,Certified Scrum Master,Udemy,50,2021-05-19,0
15,1064,2118,Google Data Analytics,Coursera,26,2020-08-14,0
16,742,1450,CompTIA A+,Udemy,69,2021-02-21,0
17,742,1450,IBM Data Science Professional,edX,23,2023-10-29,0
18,742,1450,Udemy Python Bootcamp,Pluralsight,66,2016-11-18,0
19,1273,2529,Cisco CCNA,Udemy,61,2021-05-30,0
20,1273,2529,AWS Certified Solutions Architect,Coursera,99,2022-11-02,1
21,260,525,IBM Data Science Professional,Cisco,92,2020-11-14,0
22,260,525,AWS Certified Solutions Architect,edX,80,2018-01-09,1
23,260,525,Microsoft Excel Expert,Amazon,17,2018-08-29,1
24,889,1754,IBM Data Science Professional,Google,56,2024-02-26,0
25,889,1754,Certified Scrum Master,Coursera,88,2018-07-01,1
26,889,1754,Certified Scrum Master,Coursera,45,2016-08-26,0
27,1433,2838,Google Data Analytics,Cisco,43,2024-12-30,1
28,1433,2838,Certified Scrum Master,Cisco,17,2018-10-01,1
29,1433,2838,Tableau Desktop Specialist,LinkedIn Learning,8,2020-04-16,1
30,713,1390,Cisco CCNA,IBM,47,2024-01-22,1
31,1383,2734,Udemy Python Bootcamp,Amazon,92,2024-09-23,1
32,71,143,Certified Scrum Master,IBM,50,2016-07-23,1
33,1269,2520,Power BI Data Analyst,LinkedIn Learning,51,2024-04-26,0
34,1269,2520,Google Data Analytics,Google,90,2015-09-13,0
35,1492,2960,IBM Data Science Professional,LinkedIn Learning,29,2015-12-11,1
36,608,1181,Certified Scrum Master,edX,7,2018-05-03,1
37,434,857,Microsoft Excel Expert,Coursera,81,2024-01-25,0
38,52,108,CompTIA A+,Coursera,17,2016-02-09,1
39,52,108,Certified Scrum Master,edX,22,2019-05-24,0
40,52,108,Power BI Data Analyst,Coursera,41,2021-07-21,0
41,1200,2378,Google Data Analytics,Udemy,38,2018-03-20,1
42,1200,2378,Udemy Python Bootcamp,edX,85,2019-05-30,1
43,1200,2378,Microsoft Excel Expert,Microsoft,59,2017-02-28,1
44,1129,2244,PMI CAPM,LinkedIn Learning,40,2017-12-11,1
45,1191,2361,IBM Data Science Professional,Coursera,63,2020-04-21,0
46,1191,2361,CompTIA A+,Amazon,56,2017-09-02,0
47,1250,2480,CompTIA A+,Amazon,16,2016-09-30,1
48,1250,2480,IBM Data Science Professional,Microsoft,96,2021-04-17,1
49,1250,2480,Google Data Analytics,Udemy,15,2024-10-08,0
50,1420,2810,Tableau Desktop Specialist,Google,96,2022-11-18,1
51,433,856,AWS Certified Solutions Architect,Coursera,83,2019-02-13,1
52,433,856,AWS Certified Solutions Architect,Amazon,20,2015-11-20,1
53,433,856,Tableau Desktop Specialist,IBM,75,2024-12-30,1
54,1453,2877,Google Data Analytics,Cisco,71,2016-09-23,1
55,1453,2877,Tableau Desktop Specialist,Google,35,2017-12-13,0
56,1453,2877,AWS Certified Solutions Architect,Google,80,2016-01-29,0
57,1471,2911,CompTIA A+,Pluralsight,65,2023-10-06,0
58,1235,2455,Certified Scrum Master,Cisco,39,2020-05-07,0
59,1235,2455,PMI CAPM,edX,80,2017-08-19,1
60,1282,2543,AWS Certified Solutions Architect,Google,89,2023-01-13,0
61,1086,2158,Google Data Analytics,IBM,59,2018-04-15,1
62,1086,2158,PMI CAPM,IBM,70,2020-01-09,1
63,611,1185,Microsoft Excel Expert,LinkedIn Learning,8,2016-07-17,1
