transition_id,person_id,from_role,to_role,from_industry,to_industry,transition_date,transition_time_months
1,1,Developer,Product Owner,Healthcare,Technology,2018-01-30,18
2,1,Cashier,Designer,Education,Healthcare,2019-01-30,19
3,1,Teacher,Designer,Healthcare,Technology,2020-01-30,19
4,2,Manager,Project Manager,Education,Finance,2017-10-03,24
5,3,Nurse,Product Owner,Technology,N/A,2018-11-11,16
6,3,Cashier,Data Analyst,Technology,Healthcare,2019-11-11,15
7,3,Cashier,Project Manager,Hospitality,E-Commerce,2020-11-10,15
8,4,N/A,Data Analyst,Healthcare,Healthcare,2018-03-20,6
9,4,Developer,Project Manager,Healthcare,E-Commerce,2019-03-20,12
10,4,Developer,Data Analyst,Education,Finance,2020-03-19,2
11,5,Developer,N/A,N/A,N/A,2021-12-10,20
12,5,Nurse,Designer,Education,Technology,2022-12-10,9
13,5,Manager,Engineer,Technology,E-Commerce,2023-12-10,4
14,6,Manager,Designer,Education,Healthcare,2018-08-02,21
15,7,Developer,Data Analyst,Technology,Consulting,2017-01-09,8
16,7,Developer,Product Owner,Education,E-Commerce,2018-01-09,22
17,8,Teacher,Designer,Technology,E-Commerce,2024-07-16,7
18,8,Teacher,Engineer,Education,E-Commerce,2025-07-16,22
19,9,Cashier,N/A,Healthcare,Healthcare,2015-04-08,5
20,9,Cashier,Designer,N/A,E-Commerce,2016-04-07,16
21,10,Manager,Project Manager,Education,Healthcare,2021-07-16,5
22,10,Manager,Product Owner,Hospitality,Healthcare,2022-07-16,3
23,10,Nurse,Data Analyst,Healthcare,Consulting,2023-07-16,23
24,11,Nurse,Designer,Healthcare,Technology,2017-11-10,10
25,12,Teacher,Data Analyst,Technology,Healthcare,2015-09-18,23
26,13,Cashier,Project Manager,Hospitality,Finance,2015-03-26,18
27,13,Teacher,Engineer,Retail,E-Commerce,2016-03-25,8
28,13,Teacher,Designer,N/A,Finance,2017-03-25,21
29,14,N/A,Data Analyst,Hospitality,E-Commerce,2023-06-25,22
30,14,Nurse,Data Analyst,Education,Consulting,2024-06-24,8
31,15,Cashier,Data Analyst,Education,Healthcare,2018-04-30,8
32,15,Developer,Engineer,Healthcare,Technology,2019-04-30,4
33,15,Developer,N/A,Retail,Healthcare,2020-04-29,19
34,16,N/A,Product Owner,N/A,E-Commerce,2015-05-04,18
35,16,Manager,Product Owner,Hospitality,Technology,2016-05-03,21
36,16,Nurse,Data Analyst,Hospitality,Healthcare,2017-05-03,23
37,17,Nurse,Product Owner,Education,Technology,2017-04-25,20
38,18,Manager,Designer,Hospitality,E-Commerce,2019-06-15,18
39,18,N/A,Product Owner,Hospitality,Consulting,2020-06-14,22
40,18,Developer,Data Analyst,Healthcare,Consulting,2021-06-14,12
41,19,Developer,Project Manager,Retail,Healthcare,2017-12-09,7
42,20,Teacher,Designer,Healthcare,Finance,2021-07-19,1
43,20,Cashier,Engineer,Retail,E-Commerce,2022-07-19,24
44,20,Cashier,Data Analyst,Hospitality,Healthcare,2023-07-19,7
45,21,Nurse,Engineer,Retail,Healthcare,2022-03-16,7
46,21,Manager,Project Manager,Hospitality,Consulting,2023-03-16,19
47,22,Nurse,Engineer,Hospitality,Technology,2017-05-13,13
48,22,Cashier,N/A,Healthcare,E-Commerce,2018-05-13,24
49,22,Teacher,Data Analyst,Healthcare,Technology,2019-05-13,5
50,23,Nurse,Project Manager,Technology,E-Commerce,2019-06-01,19
51,23,Developer,Data Analyst,Education,Finance,2020-05-31,1
52,23,Developer,Project Manager,Technology,Consulting,2021-05-31,1
53,24,Teacher,Project Manager,Technology,Finance,2024-10-08,18
54,24,N/A,Data Analyst,Retail,Healthcare,2025-10-08,24
55,24,Developer,Product Owner,Hospitality,Consulting,2026-10-08,1
56,25,Developer,Project Manager,Hospitality,Healthcare,2022-09-04,5
57,25,Manager,Data Analyst,Hospitality,Finance,2023-09-04,9
58,25,Nurse,Product Owner,Education,E-Commerce,2024-09-03,12
59,26,Cashier,Project Manager,Retail,Healthcare,2021-03-08,18
60,27,Nurse,Product Owner,Retail,Technology,2019-01-26,11
61,27,Cashier,Designer,Hospitality,E-Commerce,2020-01-26,1
62,27,Developer,Designer,Technology,E-Commerce,2021-01-25,19
63,28,Manager,Product Owner,Education,Finance,2022-12-27,10
64,28,Nurse,Project Manager,Technology,Finance,2023-12-27,2
65,29,Developer,Data Analyst,Healthcare,Consulting,2019-11-27,20
